"","cv_k2","cv_k5","cv_k10"
"1",126639.116040801,120348.241915123,120675.728674872
"2",118027.428817613,114547.085792514,118654.096245987
"3",118284.079577301,120045.4272303,121764.665620115
"4",123086.36759984,118098.168000877,124911.533739185
"5",124681.27562406,116443.368300268,115827.374120822
"6",129318.49384271,119342.059575221,119744.096807256
"7",130817.132239267,118413.502045841,117493.561600879
"8",124438.688924543,119887.157939565,120058.463259783
"9",124053.721502689,124763.457128482,118960.046737093
"10",122823.295682922,118194.815279342,114933.880348312
"11",121903.429851031,122917.67690716,116158.45800251
"12",128681.002942513,122302.001851275,117618.418453372
"13",128994.678015526,121358.995844215,122273.6034413
"14",122917.014044686,114401.70761188,119606.005656263
"15",134055.110612092,117964.090902414,118321.287060278
"16",135529.673504711,118196.704197893,119420.879767808
"17",122436.210600303,119500.647907112,122210.025933617
"18",130520.683673912,115204.730644867,117138.902625706
"19",121925.631851753,116627.630374293,114791.776876905
"20",136127.601301481,115251.575143229,118647.008999008
"21",136862.49253568,117382.286451569,114135.701741251
"22",124206.751002312,119963.057766495,116674.958560017
"23",121589.605092581,125854.846513424,119402.9257489
"24",119012.121000371,126519.637703735,119513.514431224
"25",133217.198995754,119942.854527101,117211.884022949
"26",134654.153322631,120033.93229598,121194.257535624
"27",127645.765125462,123898.070107293,119049.302380778
"28",121115.783961332,118969.320085526,116711.713284039
"29",128847.172620177,127338.747466904,120554.652694466
"30",131558.003719385,120029.447322633,119156.707669149
